"Part","Description","Quantity","Package","x(mm)","y(mm)","z(mm)"
"NB3 Camera Mount","Custom laser cut mount for RPi camera",1,"Mounts",70,30,5
"Motor Mount","Mount for TT Gearbox DC Motors - L-Bracket Type with hardware",2,"Mounts",15,15,15
"*Servo Mount","Mount for servo motor",2,"Mounts",30,15,5
"*Servos","FS90R Micro Continuous Rotation Servo w/Wheel",2,"Mounts",20,30,10
"Piezo Buzzer","Piezoelectric speaker/transducer",1,"Passive",30,30,1
"Potentiometer","2.2 k&Omega; variable resistor",2,"Passive",5,5,3
"Photoresistor (LDR)","Light-dependent resistor (GL5516 and GL5528)",8,"Passive",50,10,3
"Rubber feet","Adhesive rubber standoffs (1421T6CL)",4,"Passive",20,20,4
"Magnet wire","Narrow gaurge epoxy insulated (1 m)",1,"Passive",30,30,10
"Capacitor","0.1 uF ceramic capacitor",2,"Passive",50,5,3
"Button","Tactile switch",2,"Passive",5,5,3
"Thermistor","Temperature sensitive resistor",2,"Passive",50,10,3
"Inductor","1 mH torroidal inductor",1,"Passive",30,30,10
"Piezo","Piezo element",1,"Passive",50,50,3
"Resistor","330 &Omega;/0.25 W",12,"Passive",50,5,3
"Power Cable","Custom 4 pin NB3 power connector cable",1,"Power",30,10,4
"NB3 Power Board","Regulated DC-DC power supply (5 Volts - 4 Amps)",1,"Power",50,50,20
"amplifiers",,0,,,,
"atoms",,0,,,,
"audio",,0,,,,
"circuits",,0,,,,
"computers",,0,,,,
"control",,0,,,,
"data",,0,,,,
"electrons",,0,,,,
"fpgas",,0,,,,
"intelligence",,0,,,,
"learning",,0,,,,
"light",,0,,,,
"linux",,0,,,,
"logic",,0,,,,
"magnets",,0,,,,
"memory",,0,,,,
"motors",,0,,,,
"networks",,0,,,,
"power",,0,,,,
"python",,0,,,,
"robotics",,0,,,,
"security",,0,,,,
"sensors",,0,,,,
"servers",,0,,,,
"systems",,0,,,,
"transistors",,0,,,,
"vision",,0,,,,
"websites",,0,,,,
,,197,,,,
